make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
MERCEDES-BENZ,31251.0,10.89664672866686,SUV,AWD,Automatic,Gas,5.0,0,4
TOYOTA,124674.0,9.927936232938436,SUV,AWD,Automatic,Gas,5.0,0,6
TOYOTA,128649.0,9.418410893792872,SEDAN,FWD,Manual,Gas,5.0,0,6
RAM,77000.0,10.799555168721248,TRUCK,AWD,Automatic,Gas,5.0,1,4
JEEP,68383.0,10.596384701840863,SUV,AWD,Automatic,Gas,5.0,0,4
NISSAN,64971.0,10.068620562346831,SEDAN,AWD,CVT,Gas,5.0,0,3
BMW,140000.0,9.680344001221918,COUPE,RWD,Automatic,Gas,4.0,1,11
MERCEDES-BENZ,63000.0,10.503696737436805,SUV,AWD,Automatic,Gas,5.0,0,5
TOYOTA,175180.0,9.21024036697585,SUV,AWD,Automatic,Gas,5.0,0,11
HONDA,27957.0,10.258150473713906,SUV,AWD,CVT,Gas,5.0,0,3
HYUNDAI,265000.0,8.45531778769815,SUV,FWD,Automatic,Gas,5.0,1,9
FORD,172000.0,8.779557455883728,HATCHBACK,RWD,Automatic,Gas,5.0,1,8
TOYOTA,83956.0,9.830271490204868,SUV,AWD,Automatic,Gas,5.0,0,6
TOYOTA,148321.0,8.972083182851925,SEDAN,FWD,Automatic,Gas,5.0,0,11
SUBARU,232593.0,8.34283980427146,SUV,AWD,Automatic,Gas,5.0,1,12
CHEVROLET,44979.0,10.459898209522605,TRUCK,AWD,Automatic,Gas,5.0,0,3
CADILLAC,94698.0,10.914997550991217,SUV,AWD,Automatic,Gas,8.0,0,6
BMW,119800.0,9.647949933410914,SUV,AWD,Automatic,Gas,5.0,0,12
HONDA,31501.0,9.73495055071279,SEDAN,FWD,Manual,Gas,5.0,0,4
VOLKSWAGEN,7925.0,10.621302955145095,HATCHBACK,AWD,Manual,Gas,5.0,0,3
HYUNDAI,11166.0,9.897972371848018,COMPACT,FWD,CVT,Gas,5.0,0,2
HONDA,52408.0,10.1436062080563,SUV,AWD,CVT,Gas,5.0,0,4
JEEP,25838.0,10.9507714584818,SUV,AWD,Automatic,Gas,5.0,0,2
JEEP,2124.0,10.543919375424078,SUV,AWD,Automatic,Regular Unleaded,5.0,0,1
CHEVROLET,15193.0,11.14041145700175,CREW CAB,AWD,Automatic,Gas,5.0,0,2
HYUNDAI,161212.0,8.974618038455112,HATCHBACK,FWD,Manual,Gas,5.0,1,9
SCION,130000.0,9.35010231435134,COUPE,RWD,Manual,Gas,4.0,1,9
HYUNDAI,196093.0,8.160518247477505,COUPE,FWD,Automatic,Gas,5.0,0,12
RAM,45137.0,11.19814622463408,CREW CAB,AWD,Automatic,Diesel,5.0,0,4
NISSAN,133208.0,9.391661428436556,SEDAN,FWD,CVT,Premium Unleaded,5.0,0,8
HONDA,61126.0,9.847974842605868,SEDAN,FWD,CVT,Gas,5.0,0,3
TOYOTA,132574.0,9.38328476695754,HATCHBACK,FWD,Automatic,Gas,5.0,0,5
HONDA,35355.0,10.239781201782993,MINIVAN,FWD,Automatic,Gas,7.0,0,7
TOYOTA,39181.0,10.239924074233857,SUV,AWD,Automatic,Gas,5.0,0,4
KIA,62689.0,9.510074525452104,HATCHBACK,FWD,Automatic,Gas,5.0,0,6
